,abs_param_0,abs_param_1,abs_param_2,abs_param_3,abs_param_4,abs_param_5,abs_param_6,abs_param_7,abs_param_8,abs_param_9,param_0_squared,param_1_squared,param_2_squared,param_3_squared,param_4_squared,param_5_squared,param_6_squared,param_7_squared,param_8_squared,param_9_squared,surface_energy,field_energy,param_0,real_group_sampling_width,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,complex_group_sampling_width
10,(0.05262123441371577+0j),(0.018967521041479158+0j),(0.21196146774462532+0j),(0.0425012394832195+0j),(0.12183523180838392+0j),(0.8101816590919283+0j),(0.15061000479946565+0j),(0.11653552513358355+0j),(0.010493173717013214+0j),(0.02585596863659315+0j),(0.002768994311223225+0j),(0.0003597668544589546+0j),(0.04492766380845584+0j),(0.0018063553576099763+0j),(0.014843823709802643+0j),(0.6563943207289494+0j),(0.022683373545695065+0j),(0.013580528618160084+0j),(0.00011010669465541692+0j),(0.0006685311141364887+0j),7.18478400058441,-1.5905361040214316,0.05262123441371577,0.6028399814929184,(-0.01893205105863869+0.0011594383002351966j),(0.10280603823595005+0.1853606816740924j),(-0.015291379221549807+0.039655126769596025j),(0.09125650278556427-0.08072220518017917j),(0.6464047592165125-0.48842113794469616j),(0.08417452115838654+0.12489204751885287j),(-0.09584475002953775-0.06628961087482341j),(0.010119165325831105+0.0027765424116901923j),(0.02292176797142708-0.011963430411071415j),0.44400624699656116
11,(0.03753138155472331+0j),(0.055976380122454705+0j),(0.21531004087681374+0j),(0.02947930927559022+0j),(0.17638909680544088+0j),(0.9419274308744794+0j),(0.17202856615215983+0j),(0.08553761917802721+0j),(0.05114788076847431+0j),(0.007224541460658977+0j),(0.0014086046014062253+0j),(0.0031333551316135425+0j),(0.0463584137023752+0j),(0.0008690296753658996+0j),(0.031113113471839197+0j),(0.887227285033797+0j),(0.02959382757236803+0j),(0.00731668429464521+0j),(0.0026161057071060643+0j),(5.219399931678055e-05+0j),7.182820901880174,-1.682282434234378,-0.03753138155472331,0.595343852248853,(-0.05507657827032639-0.009996282191202577j),(0.12188727000249633+0.1774877660959024j),(-0.0067378999746373755+0.028698961293009913j),(0.16703623119473823-0.05667460577804802j),(0.5737058998307012-0.7470534288344057j),(0.12362879399387575+0.11962336255091587j),(-0.07824655536745112-0.034556632760927616j),(0.0034721789693469614+0.05102989006759557j),(-0.0029637147878853326-0.006588656461893452j),0.4384851662540129
12,(0.24599958345343653+0j),(0.04230582923620891+0j),(0.22022885168279244+0j),(0.07566535945640951+0j),(0.09367853044024903+0j),(0.9272439587022423+0j),(0.19679016516061573+0j),(0.09318692641896868+0j),(0.04296790738371763+0j),(0.024566670101603735+0j),(0.060515795059264285+0j),(0.0017897831873632684+0j),(0.0485007471135214+0j),(0.00572524662166766+0j),(0.008775667065444664+0j),(0.8597813589498058+0j),(0.03872636910394241+0j),(0.008683803255414284+0j),(0.001846241064935736+0j),(0.0006035212798810309+0j),7.264256413472598,-1.4048607991106503,0.24599958345343653,0.5879409350600076,(-0.031531891438061975-0.02820501745614674j),(0.12704110685154302+0.1798924797857215j),(-0.0658679731105287-0.037237840162640055j),(0.07577029828897329-0.055086558820139374j),(0.6864393650389394-0.6233637437922929j),(0.18296882088163646+0.07244846229649078j),(-0.06490603562198337-0.06686560995947102j),(-0.042585032854934285+0.005723289410811197j),(0.023545041382826704-0.007010870570906928j),0.4438637718214403
13,(0.05196908193647398+0j),(0.04701288491083472+0j),(0.18195353766903397+0j),(0.06683590984977271+0j),(0.13999681520759044+0j),(0.8667843623962501+0j),(0.18673223901997296+0j),(0.10414823532980581+0j),(0.06208002387452803+0j),(0.032404315536642164+0j),(0.0027007854773199464+0j),(0.002210211347639391+0j),(0.033107089870276565+0j),(0.004467038845446945+0j),(0.01959910826826823+0j),(0.7513151308946739+0j),(0.03486892908941232+0j),(0.010846854922312613+0j),(0.00385392936426197+0j),(0.0010500396653982686+0j),7.184685685179678,-1.6326417382388785,-0.05196908193647398,0.5806300708632236,(-0.03890544201303888-0.026392762822589455j),(0.09874467862380584+0.15282859128369228j),(-0.04896203187679325-0.04549459616199297j),(0.08647138697983633-0.11009908038694792j),(0.7449975845500703-0.44305048234849587j),(0.16606667613610182+0.085386112257904j),(-0.04981459265038918-0.0914623489824551j),(-0.026491194478576542+0.0561439754502672j),(-0.004156186398436082+0.03213667344358659j),0.4383444627137531
14,(0.07156544100120248+0j),(0.05493626398417023+0j),(0.15334348575445095+0j),(0.08871890957276529+0j),(0.10860294939446034+0j),(0.9550104712148401+0j),(0.18610384872788024+0j),(0.09762454584603081+0j),(0.03550901767139359+0j),(0.041909508073669034+0j),(0.005121612345696592+0j),(0.003017993100538439+0j),(0.023514224623325496+0j),(0.007871044915780506+0j),(0.011794600617175714+0j),(0.9120450001299908+0j),(0.03463464251132973+0j),(0.009530551951643772+0j),(0.0012608903359873423+0j),(0.0017564068669769302+0j),7.188167806496701,-1.7167042657228193,0.07156544100120248,0.5734101150079354,(-0.039526012345443-0.038153472300779215j),(0.07242759568010933+0.13516089673912388j),(-0.03376616196673311-0.08204200888457602j),(0.05283358010717783-0.09488526455796041j),(0.8701098665325785-0.3936417410446322j),(0.17404401415325543+0.06590389706801221j),(-0.0680114423405277-0.07003567421253863j),(-0.02808848071431358+0.021723894382660223j),(-0.0411454423826648+0.007966143239469238j),0.4275794913515332
15,(0.06681127202254734+0j),(0.08712236768579584+0j),(0.11725950226648761+0j),(0.1266462222684057+0j),(0.038012602257536526+0j),(0.9707732397088349+0j),(0.17475914479271612+0j),(0.03887057960371327+0j),(0.04680022835061906+0j),(0.04284527997678728+0j),(0.004463746069270818+0j),(0.007590306951179003+0j),(0.013749790871784413+0j),(0.01603926561485842+0j),(0.001444957930389671+0j),(0.9424006829347871+0j),(0.030540758688681516+0j),(0.00151092195872861+0j),(0.002190261373670088+0j),(0.0018357180162892894+0j),7.187222997580806,-1.896272094395477,0.06681127202254734,0.5662799370769542,(-0.06583362667666912-0.057063478248140155j),(0.07024530408755045+0.09389029835628376j),(-0.03392489896110752-0.12201789559460967j),(-0.008540828206998181-0.037040682822110815j),(0.6992072394782055-0.6734314510000661j),(0.05212014528788797+0.16680602250473742j),(-0.03569436529077336+0.015389419911661519j),(-0.046277481291774385+0.00697539238749763j),(-0.032916798978492-0.027426307832058572j),0.44365014477583814
16,(0.007039728668327444+0j),(0.02840489874299422+0j),(0.017097152773647026+0j),(0.11255391504359505+0j),(0.101990974547371+0j),(0.8770063146070565+0j),(0.14657351149738604+0j),(0.05364512476936641+0j),(0.026030537851777655+0j),(0.0742066155058186+0j),(4.955777972367129e-05+0j),(0.0008068382725997546+0j),(0.00029231263296542614+0j),(0.012668383791640812+0j),(0.010402158889122479+0j),(0.7691400758606513+0j),(0.021483794272674356+0j),(0.0028777994115208906+0j),(0.0006775889008528293+0j),(0.0055066217848283965+0j),7.180854985871095,-2.1060927890735726,0.007039728668327444,0.5523730948006919,(-0.00819508272361888-0.02719703829009324j),(-0.017086712740042875+0.0005973949319191233j),(-0.00825605849158146-0.1122507073021119j),(0.08186999765270393+0.06082320587957142j),(0.8723478654380995+0.09027334892559752j),(0.059090260297332525+0.13413476585385253j),(-0.016489690801200933+0.05104791385357172j),(0.0019599500420238248-0.0259566464838122j),(0.07180031260195871-0.018743982903572175j),0.4603248166498301
17,(0.10081257096913593+0j),(0.053340756430350154+0j),(0.07663368425683627+0j),(0.12616486428190066+0j),(0.046583006471883924+0j),(0.9124991113781854+0j),(0.18354110969606896+0j),(0.04518669371728289+0j),(0.08855211132999163+0j),(0.08081861889645159+0j),(0.010163174465407068+0j),(0.0028452362965619414+0j),(0.005872721562776475+0j),(0.01591757297927041+0j),(0.0021699764919595795+0j),(0.832654628265978+0j),(0.033687338948464415+0j),(0.002041837289099533+0j),(0.007841476420999234+0j),(0.006531649160329883+0j),7.195372582394367,-1.8739345737536746,-0.10081257096913593,0.5591486877548926,(0.011384615244609346-0.05211167654464928j),(-0.07264530176260499-0.024400444557354604j),(-0.04878734501955596-0.1163501952951228j),(0.015115509357248562+0.044062431490222036j),(0.8855707341323644+0.22004341188557125j),(0.13538460746306383+0.1239287981485197j),(-0.0436176668903487+0.011804085061626427j),(0.05634283467318813-0.06831516231400628j),(0.07880947225433169+0.017908552239743067j),0.45460081952655984
18,(0.02951910730501195+0j),(0.021151615493360434+0j),(0.1468427843469792+0j),(0.0836381869070444+0j),(0.059853206656681805+0j),(0.97218310445783+0j),(0.10304078836115921+0j),(0.042580121721479215+0j),(0.08502075476934566+0j),(0.08225417109065596+0j),(0.0008713776960848098+0j),(0.0004473908379789651+0j),(0.021562803314773442+0j),(0.006995346309097695+0j),(0.0035824063470874593+0j),(0.9451399885932639+0j),(0.010617404066089204+0j),(0.0018130667658159858+0j),(0.007228528741549212+0j),(0.006765748661810902+0j),7.18204435182551,-2.373892718043658,-0.02951910730501195,0.5660073923963079,(-0.0011448129199472072-0.02112061176569673j),(-0.1176975167844811-0.08780716290565499j),(-0.027646470036684134-0.07893680385984994j),(-0.01599205258048295+0.05767721041581786j),(0.9620260223685821-0.14016390719064653j),(0.09298139309329059+0.04440568211974878j),(0.028227941668238322+0.031878677434776376j),(0.028693769710449787-0.08003247041890489j),(0.08175424533661316+0.009054945126933021j),0.45452787626446706
19,(0.04060650533254785+0j),(0.016959679185340658+0j),(0.12844066807976035+0j),(0.0589773778918954+0j),(0.07957769618196558+0j),(0.9973532651879271+0j),(0.13267670736797602+0j),(0.023784317881566007+0j),(0.08845712263607972+0j),(0.06761346690793689+0j),(0.001648888275322237+0j),(0.0002876307180696772+0j),(0.016497005216775162+0j),(0.003478331103003433+0j),(0.006332609729629219+0j),(0.9947135355810196+0j),(0.017603108678007538+0j),(0.0005656937770913804+0j),(0.007824662545054446+0j),(0.004571580907310677+0j),7.183167986294638,-2.4711160503610454,-0.04060650533254785,0.5589692650378807,(-0.001728097592140848-0.016871407670426147j),(-0.07166754101712997-0.10658690717594332j),(-8.681386656207019e-05-0.0589773139974686j),(-0.07209171263235235+0.03369561840007611j),(0.9877723701371993-0.13791040705675336j),(0.11596811259251366+0.0644554539177067j),(-0.012049661322036418+0.020506082978365224j),(0.031170639300107196-0.08278317335471659j),(0.06582615444384224+0.015443390121540848j),0.4433654686432424
