,abs_param_0,abs_param_1,abs_param_2,abs_param_3,abs_param_4,abs_param_5,abs_param_6,abs_param_7,abs_param_8,abs_param_9,param_0_squared,param_1_squared,param_2_squared,param_3_squared,param_4_squared,param_5_squared,param_6_squared,param_7_squared,param_8_squared,param_9_squared,surface_energy,field_energy,param_0,real_group_sampling_width,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,complex_group_sampling_width
10,(0.4593736443898245+0j),(0.02894383218013086+0j),(0.009112758791247818+0j),(0.09872266242222603+0j),(0.002380827857800725+0j),(0.08931426103827894+0j),(0.06538321598815347+0j),(0.07815036815672917+0j),(0.030186192633174833+0j),(0.03075308039115875+0j),(0.2110241451599889+0j),(0.0008377454212715788+0j),(8.30423727874644e-05+0j),(0.0097461640757328+0j),(5.668341288479989e-06+0j),(0.007977037224813834+0j),(0.004274964932953528+0j),(0.006107480043032309+0j),(0.0009112062256871386+0j),(0.0009457519535450729+0j),16.902827681232285,1.5477531358210124,-0.4593736443898245,0.49191456594482047,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),1.6968256060469509
11,(0.5121825601398584+0j),(0.02877256690095849+0j),(0.009058837141595465+0j),(0.09813850465641405+0j),(0.0023667401189971706+0j),(0.08878577428657317+0j),(0.06499633305331233+0j),(0.07768793994278403+0j),(0.030007576108718178+0j),(0.03057110950127024+0j),(0.26233097491141966+0j),(0.0008278606060701319+0j),(8.20625303579495e-05+0j),(0.009631166096197002+0j),(5.601458790870742e-06+0j),(0.007882913715666316+0j),(0.004224523310377102+0j),(0.006035416012553618+0j),(0.0009004546239205141+0j),(0.0009345927361386555+0j),16.838349922713913,1.6262320518664533,0.5121825601398584,0.5231694932110533,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),1.6348355268495658
12,(0.23205335549143452+0j),(0.028625768090239312+0j),(0.00901261858475059+0j),(0.09763779800000376+0j),(0.0023546649143084096+0j),(0.08833278564225391+0j),(0.06466471910916279+0j),(0.07729157290225962+0j),(0.029854476230612475+0j),(0.030415134452794375+0j),(0.053848759794834083+0j),(0.0008194345987561633+0j),(8.122729375419172e-05+0j),(0.009533139598289539+0j),(5.5444468586750295e-06+0j),(0.007802681019320379+0j),(0.004181525897466923+0j),(0.005973987241705314+0j),(0.0008912897510042053+0j),(0.0009250804037815594+0j),17.167276324795445,1.2457496016894587,0.23205335549143452,0.5428329143470586,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),1.5751101293644343
13,(0.29075030413268166+0j),(0.028498542454282693+0j),(0.008972562502151699+0j),(0.09720385223111487+0j),(0.002344199736911483+0j),(0.0879401954838439+0j),(0.0643773203575665+0j),(0.0769480548004718+0j),(0.02972178966958753+0j),(0.030279956077448624+0j),(0.08453573935324687+0j),(0.0008121669220185531+0j),(8.050687785501876e-05+0j),(0.009448588888568414+0j),(5.4952724065358676e-06+0j),(0.007733477981736679+0j),(0.004144439376420747+0j),(0.005921003137576411+0j),(0.0008833847811632001+0j),(0.0009168757400522177+0j),17.108317429910418,1.2796534248063332,-0.29075030413268166,0.5632353887646281,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),1.5175666780421875
14,(0.00029417758787925186+0j),(0.028387220022820653+0j),(0.00893751342987767+0j),(0.09682414968333708+0j),(0.0023350427066891727+0j),(0.08759667909523514+0j),(0.06412584644991977+0j),(0.07664747646140745+0j),(0.029605688928690706+0j),(0.030161674999021088+0j),(8.654045321045495e-08+0j),(0.0008058342606240298+0j),(7.987914630924369e-05+0j),(0.009374915961901261+0j),(5.4524244420622985e-06+0j),(0.007673178188513605+0j),(0.004112124182918688+0j),(0.005874835647902008+0j),(0.0008764968169423994+0j),(0.0009097266387465739+0j),17.278759407530853,1.1443584699632245,0.00029417758787925186,0.584404693916587,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),1.4621254599088105
15,(0.15432195344778196+0j),(0.028288994348001206+0j),(0.008906587777871173+0j),(0.09648911802353313+0j),(0.002326962974140075+0j),(0.08729357639940387+0j),(0.06390395770787853+0j),(0.07638226027988008+0j),(0.02950324709848762+0j),(0.03005730934158503+0j),(0.023815265315939384+0j),(0.0008002672012212442+0j),(7.932730584492414e-05+0j),(0.009310149896959306+0j),(5.414756683018824e-06+0j),(0.007620168480598561+0j),(0.004083715810730327+0j),(0.005834249685463347+0j),(0.0008704415893544183+0j),(0.0009034418448557346+0j),17.22821305631139,1.1688066743244099,0.15432195344778196,0.5915731971687804,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),1.4087096741419893
16,(0.3247914503389704+0j),(0.02820168263705058+0j),(0.008879098309420953+0j),(0.0961913121037074+0j),(0.0023197809896519884+0j),(0.0870241517808872+0j),(0.06370672327050853+0j),(0.07614651256296687+0j),(0.029412187693862658+0j),(0.02996453986830853+0j),(0.10548948621329186+0j),(0.0007953349035609203+0j),(7.8838386788362e-05+0j),(0.009252768524232848+0j),(5.38138383995076e-06+0j),(0.007573202993182893+0j),(0.004058546589865152+0j),(0.005798291375502072+0j),(0.0008650767849390059+0j),(0.0008978736495194513+0j),17.070023218589462,1.2815437635890012,0.3247914503389704,0.6214364659436202,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),1.3572453256815569
17,(0.5332751678125868+0j),(0.028123561632515816+0j),(0.00885450246922865+0j),(0.09592485417544228+0j),(0.0023133550035310687+0j),(0.08678308764853017+0j),(0.06353025035286168+0j),(0.07593558039520241+0j),(0.029330713489724533+0j),(0.029881535602745347+0j),(0.2843824046055426+0j),(0.0007909347188979157+0j),(7.840221397757626e-05+0j),(0.009201577648579866+0j),(5.351611372362231e-06+0j),(0.007531304301812468+0j),(0.004036092709897282+0j),(0.005766212369956249+0j),(0.0008602907538163086+0j),(0.0008929061699781377+0j),16.814369383869366,1.5865774444551022,-0.5332751678125868,0.6368776544003817,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),1.3076611227266703
18,(0.006417207720099349+0j),(0.028053252728434522+0j),(0.008832366213055578+0j),(0.09568504204000366+0j),(0.0023075716160222406+0j),(0.08656612992940883+0j),(0.06337142472697954+0j),(0.0757457414442144+0j),(0.02925738670600022+0j),(0.02980683176373848+0j),(4.118055492290269e-05+0j),(0.000786984988645419+0j),(7.801069292152573e-05+0j),(0.009155627270197269+0j),(5.3248867630714955e-06+0j),(0.007493694850955293+0j),(0.004015937471927233+0j),(0.005737417346933779+0j),(0.0008559946768644383+0j),(0.0008884472197918092+0j),17.278670511716033,1.1141659441277534,-0.006417207720099349,0.621237055980561,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),1.2598883779777175
19,(0.21407579121844975+0j),(0.02798963991045621+0j),(0.008812338171756131+0j),(0.0954680691555592+0j),(0.0023023390273237774+0j),(0.08636983485020382+0j),(0.06322772535118139+0j),(0.0755739823933205+0j),(0.02919104342548775+0j),(0.029739242576065604+0j),(0.045828444385805286+0j),(0.0007834199423170032+0j),(7.76573040533902e-05+0j),(0.009114152228290633+0j),(5.3007649967381975e-06+0j),(0.007459748372051483+0j),(0.003997745253084426+0j),(0.005711426814785917+0j),(0.0008521170162687114+0j),(0.0008844225489980731+0j),17.183239397867126,1.1721414958580927,-0.21407579121844975,0.6445863644084321,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),1.2138609134861524
