,abs_param_0,abs_param_1,abs_param_2,abs_param_3,abs_param_4,abs_param_5,abs_param_6,abs_param_7,param_0_squared,param_1_squared,param_2_squared,param_3_squared,param_4_squared,param_5_squared,param_6_squared,param_7_squared,surface_energy,field_energy,param_0,real_group_sampling_width,param_1,param_2,param_3,param_4,param_5,param_6,param_7,complex_group_sampling_width
10,(0.7070272752387066+0j),(0.02687844857114303+0j),(0.09411059526028359+0j),(0.19700390461222697+0j),(0.403073815785249+0j),(0.7310770034472538+0j),(0.21173830037140148+0j),(0.010508859971762591+0j),(0.4998875679314697+0j),(0.0007224509975915809+0j),(0.008856804140244912+0j),(0.03881053843246342+0j),(0.1624685009716808+0j),(0.5344735849694159+0j),(0.044833107844169835+0j),(0.00011043613790611403+0j),16.730467500449457,-4.710564992444018,-0.7070272752387066,0.6689530652133012,(0.022712931840326748+0.014372672848438885j),(0.04263609197704573+0.0838985566095735j),(-0.1498373278081023+0.12790353250708406j),(0.3679805795999316+0.1644955744358469j),(-0.34924852943547363-0.6422608890914774j),(0.04254389819626698-0.2074201643294005j),(0.008747855937569604-0.005823328464172552j),0.22107066479825793
11,(0.7070272752387066+0j),(0.02687844857114303+0j),(0.09411059526028359+0j),(0.19700390461222697+0j),(0.403073815785249+0j),(0.7310770034472538+0j),(0.21173830037140148+0j),(0.010508859971762591+0j),(0.4998875679314697+0j),(0.0007224509975915809+0j),(0.008856804140244912+0j),(0.03881053843246342+0j),(0.1624685009716808+0j),(0.5344735849694159+0j),(0.044833107844169835+0j),(0.00011043613790611403+0j),16.730467500449457,-4.710564992444018,-0.7070272752387066,0.6438984655200174,(0.022712931840326748+0.014372672848438885j),(0.04263609197704573+0.0838985566095735j),(-0.1498373278081023+0.12790353250708406j),(0.3679805795999316+0.1644955744358469j),(-0.34924852943547363-0.6422608890914774j),(0.04254389819626698-0.2074201643294005j),(0.008747855937569604-0.005823328464172552j),0.21279080586871954
12,(0.7070272752387066+0j),(0.02687844857114303+0j),(0.09411059526028359+0j),(0.19700390461222697+0j),(0.403073815785249+0j),(0.7310770034472538+0j),(0.21173830037140148+0j),(0.010508859971762591+0j),(0.4998875679314697+0j),(0.0007224509975915809+0j),(0.008856804140244912+0j),(0.03881053843246342+0j),(0.1624685009716808+0j),(0.5344735849694159+0j),(0.044833107844169835+0j),(0.00011043613790611403+0j),16.730467500449457,-4.710564992444018,-0.7070272752387066,0.6197822470053752,(0.022712931840326748+0.014372672848438885j),(0.04263609197704573+0.0838985566095735j),(-0.1498373278081023+0.12790353250708406j),(0.3679805795999316+0.1644955744358469j),(-0.34924852943547363-0.6422608890914774j),(0.04254389819626698-0.2074201643294005j),(0.008747855937569604-0.005823328464172552j),0.20482105621557747
13,(0.7070272752387066+0j),(0.0590563964532373+0j),(0.06568133539391247+0j),(0.21419899625170266+0j),(0.3601052222717309+0j),(0.7230571503746235+0j),(0.2660601679390241+0j),(0.04585616943376142+0j),(0.4998875679314697+0j),(0.003487657962041939+0j),(0.004314037819127618+0j),(0.04588120999523693+0j),(0.12967577110737272+0j),(0.5228116427078711+0j),(0.0707880129637417+0j),(0.002102788275137835+0j),16.730467500449457,-4.838246017151289,-0.7070272752387066,0.5965692640575024,(0.0328092659316173-0.04910407346718147j),(0.05537915652764203+0.035315532580077864j),(-0.20149596280548057+0.0726676473289821j),(0.33494364117208214+0.13224419966773665j),(-0.2997462667612332-0.657999861907717j),(0.10443624874992609-0.24470611539310835j),(0.04524314841655616+0.0074730045159431355j),0.20220861130918144
14,(0.7070272752387066+0j),(0.06306967424495107+0j),(0.09874806040233511+0j),(0.19558436258492312+0j),(0.3681078566496546+0j),(0.753456569819042+0j),(0.2529017524247988+0j),(0.07879636271754595+0j),(0.4998875679314697+0j),(0.003977783809364245+0j),(0.009751179433223223+0j),(0.03825324288775068+0j),(0.13550339412720266+0j),(0.5676968026034769+0j),(0.06395929637953422+0j),(0.006208866777515064+0j),16.730467500449457,-4.907713362799572,-0.7070272752387066,0.5742256873889185,(0.028515183962833136-0.05625538279071638j),(0.07384646761542102+0.06555820813557825j),(-0.176245069573546+0.08479928265478788j),(0.3426728259077903+0.13445716236620456j),(-0.3082716320183951-0.6875066570559096j),(0.13927325042421718-0.21109774535936549j),(0.06897162588570659+0.03810225190454225j),0.1971165277173789
15,(0.7070272752387066+0j),(0.06306967424495107+0j),(0.09874806040233511+0j),(0.19558436258492312+0j),(0.3681078566496546+0j),(0.753456569819042+0j),(0.2529017524247988+0j),(0.07879636271754595+0j),(0.4998875679314697+0j),(0.003977783809364245+0j),(0.009751179433223223+0j),(0.03825324288775068+0j),(0.13550339412720266+0j),(0.5676968026034769+0j),(0.06395929637953422+0j),(0.006208866777515064+0j),16.730467500449457,-4.907713362799572,-0.7070272752387066,0.5527189547356453,(0.028515183962833136-0.05625538279071638j),(0.07384646761542102+0.06555820813557825j),(-0.176245069573546+0.08479928265478788j),(0.3426728259077903+0.13445716236620456j),(-0.3082716320183951-0.6875066570559096j),(0.13927325042421718-0.21109774535936549j),(0.06897162588570659+0.03810225190454225j),0.18973383384585257
16,(0.7070272752387066+0j),(0.07330148499178679+0j),(0.08266700235018673+0j),(0.20112490307643338+0j),(0.3608128509554496+0j),(0.7534590111865632+0j),(0.2757419024528137+0j),(0.13536164632750075+0j),(0.4998875679314697+0j),(0.005373107702001143+0j),(0.006833833277565779+0j),(0.04045122663750472+0j),(0.1301859134145995+0j),(0.5677004815382336+0j),(0.07603359676829703+0j),(0.018322775296491397+0j),16.730467500449457,-4.879177515939533,-0.7070272752387066,0.5320177234028068,(0.054034642144051355-0.04953145617045246j),(0.07181638226837787+0.040941916362671624j),(-0.17623289950599727+0.09691848001910568j),(0.34760486417357656+0.0967304079256823j),(-0.30434557944949125-0.6892563019717607j),(0.15992912084692712-0.2246247383380246j),(0.10087161650283975+0.09026456824577085j),0.18495589419293143
17,(0.7070272752387066+0j),(0.033726391621788455+0j),(0.11845428947645475+0j),(0.09938855933935835+0j),(0.4056427978220194+0j),(0.7356249630906425+0j),(0.27983854882839765+0j),(0.12642553264470488+0j),(0.4998875679314697+0j),(0.0011374694918262426+0j),(0.01403141869537174+0j),(0.009878085727553155+0j),(0.1645460794248757+0j),(0.5411440863221092+0j),(0.0783096134103835+0j),(0.015983415304497338+0j),16.730467500449457,-5.2280628827727496,-0.7070272752387066,0.5120918245875599,(0.031099641232549546-0.013049207141928077j),(0.11310866496669494+0.03518307270298737j),(-0.09346837388864848+0.033789773751313715j),(0.4045243823787148+0.030101552883448256j),(-0.2977239522450333-0.6726845728732794j),(0.18272315946366238-0.2119477775443765j),(0.11190405479585463+0.058829395923668135j),0.18492467872936205
18,(0.7070272752387066+0j),(0.033726391621788455+0j),(0.11845428947645475+0j),(0.09938855933935835+0j),(0.4056427978220194+0j),(0.7356249630906425+0j),(0.27983854882839765+0j),(0.12642553264470488+0j),(0.4998875679314697+0j),(0.0011374694918262426+0j),(0.01403141869537174+0j),(0.009878085727553155+0j),(0.1645460794248757+0j),(0.5411440863221092+0j),(0.0783096134103835+0j),(0.015983415304497338+0j),16.730467500449457,-5.2280628827727496,-0.7070272752387066,0.4929122194127879,(0.031099641232549546-0.013049207141928077j),(0.11310866496669494+0.03518307270298737j),(-0.09346837388864848+0.033789773751313715j),(0.4045243823787148+0.030101552883448256j),(-0.2977239522450333-0.6726845728732794j),(0.18272315946366238-0.2119477775443765j),(0.11190405479585463+0.058829395923668135j),0.1779986116554397
19,(0.7070272752387066+0j),(0.03366718639678009+0j),(0.11699347073177369+0j),(0.09875021874554411+0j),(0.4298984581955808+0j),(0.7406959605475933+0j),(0.27002589543515493+0j),(0.15210130036852115+0j),(0.4998875679314697+0j),(0.0011334794398755344+0j),(0.013687472193866386+0j),(0.00975160570229281+0j),(0.18481268435893752+0j),(0.548630505971522+0j),(0.07291398420555721+0j),(0.023134805573795096+0j),16.730467500449457,-5.204362217737395,-0.7070272752387066,0.4744509566074854,(0.031014876106436263-0.013097973124798486j),(0.1149931596228316+0.02154171380889544j),(-0.09616572132177949+0.022444592777652615j),(0.42836046533536415+0.03633175053046321j),(-0.26868855638043976-0.6902441348115297j),(0.1841851653459206-0.19745837301075156j),(0.13815472964450304+0.06362449410918226j),0.17351619221787964
